"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw","depth_bot","depth_mid","habitat_class","growth_cycle","basis","sd_imputed","yi","vi","obs"
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"DOC","F4","DOC","mg/L","50-75",244.999999999999,19.44,3,210,14.26,3,"-0.15415068000000001","50-75",75,62.5,"wetland_coastal","perennial","concentration",FALSE,-0.154431493161205,0.00363566446079567,207
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"DOC","F4","DOC","mg/L","75-100",257.962962962962,16.85,3,232.037037037037,16.85,3,"-0.105894764","75-100",100,87.5,"wetland_coastal","perennial","concentration",FALSE,-0.105751235255958,0.00317998800559556,208
"R55","Invasion Effects of Solidago canadensis on Soil Nutrients and Active Organic Carbon Components in Reclamation District of Hangzhou Bay Wetland","30.1929","121.0958","field","wetland","Phaceluruslatifolius (Steud.)Ohwi","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"DOC","F4","DOC","g/kg","0-10",0.329519450800915,0.06,5,0.239130434782608,0.03,5,"-0.31845373100000002","0-10",10,5,"wetland_coastal","perennial","concentration",FALSE,-0.322367777901394,0.00977863665059691,209
"R55","Invasion Effects of Solidago canadensis on Soil Nutrients and Active Organic Carbon Components in Reclamation District of Hangzhou Bay Wetland","30.1929","121.0958","field","wetland","Imperatacylindrica (L.)P.Beauv.","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"DOC","F4","DOC","g/kg","0-10",0.414187643020594,0.05,5,0.239130434782608,0.03,5,"-0.53551823600000004","0-10",10,5,"wetland_coastal","perennial","concentration",FALSE,-0.549193364718228,0.00606234690461676,210
"R55","Invasion Effects of Solidago canadensis on Soil Nutrients and Active Organic Carbon Components in Reclamation District of Hangzhou Bay Wetland","30.1929","121.0958","field","wetland","P.australis","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"DOC","F4","DOC","g/kg","0-10",0.250572082379862,0.04,5,0.239130434782608,0.03,5,"-4.0821995E-2","0-10",10,5,"wetland_coastal","perennial","concentration",FALSE,-0.0477119174006279,0.00824441628795853,211
"R55","Invasion Effects of Solidago canadensis on Soil Nutrients and Active Organic Carbon Components in Reclamation District of Hangzhou Bay Wetland","30.1929","121.0958","field","wetland","Phaceluruslatifolius (Steud.)Ohwi","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"DOC","F4","DOC","g/kg","10-20",0.320366132723112,0.03,5,0.187643020594965,0.03,5,"-0.52129692400000005","10-20",20,15,"wetland_coastal","perennial","concentration",FALSE,-0.533243974766257,0.00686599503514676,212
"R55","Invasion Effects of Solidago canadensis on Soil Nutrients and Active Organic Carbon Components in Reclamation District of Hangzhou Bay Wetland","30.1929","121.0958","field","wetland","Imperatacylindrica (L.)P.Beauv.","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"DOC","F4","DOC","g/kg","10-20",0.314645308924485,0.04,5,0.187643020594965,0.03,5,"-0.489548225","10-20",20,15,"wetland_coastal","perennial","concentration",FALSE,-0.515964705141298,0.00834446679058613,213
"R55","Invasion Effects of Solidago canadensis on Soil Nutrients and Active Organic Carbon Components in Reclamation District of Hangzhou Bay Wetland","30.1929","121.0958","field","wetland","P.australis","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"DOC","F4","DOC","g/kg","10-20",0.271167048054919,0.08,5,0.187643020594965,0.03,5,"-0.35139788700000002","10-20",20,15,"wetland_coastal","perennial","concentration",FALSE,-0.374341359032994,0.0225196876368652,214
"R1","Effect of Invasive Plants (Conyza sumatrenss and Alternthera philoxeroides) on Soil Carbon and Nitrogen Processes","31.23-31.60","118.34-119.22","greenhouse","ricefields","DigitariasanguilisL.","Poaceae","annual","Alterntheraphiloxeroides","Amaranthaceae","annual","invasive",NA,NA,"MBC","F1","MBC","ug/g","n/a",237.652811735941,15.40342298,7,528.117359413203,37.40831296,7,"0.79852452799999996","n/a",NA,NA,"cropland","annual","concentration",FALSE,0.798566010567318,0.00131690304706227,215
"R1","Effect of Invasive Plants (Conyza sumatrenss and Alternthera philoxeroides) on Soil Carbon and Nitrogen Processes","31.23-31.60","118.34-119.22","greenhouse","ricefields","DigitariasanguilisL.","Poaceae","annual","Erigeronsumatrensis Retz","compositae","n/a","invasive",NA,NA,"MBC","n/a","n/a","n/a","n/a",237.652811735941,15.40342298,7,767.9706601,6.601466993,7,"1.172951667","n/a",NA,NA,"cropland",NA,"concentration",FALSE,1.17264590436033,0.000610693033839813,216
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"MBC","F3","MBC","mg/kg","0-10",131.165311653116,14.0921,3,174.525745257452,9.2141,3,"0.28560245499999998","0-10",10,5,NA,"perennial","concentration",FALSE,0.284154562671228,0.00477672680567468,217
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"MBC","F3","MBC","mg/kg","10-20",84.010840108401,7.5881,3,95.9349593495935,17.3442,3,"0.13268291900000001","10-20",20,15,NA,"perennial","concentration",FALSE,0.136812490828425,0.0136145639724341,218
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"MBC","F3","MBC","mg/kg","20-30",82.3848238482384,4.336,3,82.3848238482384,17.8862,3,"0","20-30",30,25,NA,"perennial","concentration",FALSE,0.00739412983318273,0.0166349448004375,219
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"MBC","F3","MBC","mg/kg","30-40",52.0325203252032,10.2981,3,44.4444444444444,10.2981,3,"-0.157680511","30-40",40,35,NA,"perennial","concentration",FALSE,-0.155209399964239,0.0309530779896863,220
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"MBC","F3","MBC","mg/kg","40-50",39.0243902439024,6.5041,3,41.7344173441734,10.2981,3,"6.7145959000000005E-2","40-50",50,45,NA,"perennial","concentration",FALSE,0.0726574783614816,0.0295550686408338,221
"R9","Crop-weed competition changes the decomposition of soil organic matter fractions in the rhizosphere","-5.9945700000000004","-37.942100000000003","greenhouse","n/a","ZeamaysL.","Poaceae","annual","BidenspilosaL.","compositae","annual","invasive",NA,NA,"MBC","T1","MBC","µg of MBC g−1 of soil","0-20",135.3,18.06,5,67.16,9.39,5,"-0.70041670300000003","0-20",20,10,NA,"annual","concentration",FALSE,-0.70024359112278,0.00747311097101778,222
"R9","Crop-weed competition changes the decomposition of soil organic matter fractions in the rhizosphere","-5.9945700000000004","-37.942100000000003","greenhouse","n/a","AmaranthusviridisL.","Amaranthaceae","annual","BidenspilosaL.","compositae","annual","invasive",NA,NA,"MBC","T1","MBC","µg of MBC g−1 of soil","0-20",69.4,8.75,5,67.16,9.39,5,"-3.2809035E-2","0-20",20,10,NA,"annual","concentration",FALSE,-0.0324438357188623,0.00708893549114893,223
"R9","Crop-weed competition changes the decomposition of soil organic matter fractions in the rhizosphere","-5.9945700000000004","-37.942100000000003","greenhouse","n/a","I.grandifolia","BignoniaceaeJuss.","annual","BidenspilosaL.","compositae","annual","invasive",NA,NA,"MBC","T1","MBC","µg of MBC g−1 of soil","0-20",79.65,7.8,5,67.16,9.39,5,"-0.170564204","0-20",20,10,NA,"annual","concentration",FALSE,-0.169568368357245,0.00582766308131651,224
"R10","Effects of Canada Goldenrod Invasion on Soil Extracellular Enzyme Activities and Ecoenzymatic Stoichiometry","32.14","119.29","field","grassland","P.australis","Poaceae","perennial","P.australis","compositae","perennial","invasive",17.7,1272.1,"MBC","T1","MBC","×10−1 mg C g−1 soil","0-15",6.4,2.3,4,8.84,2.95,4,"0.32298888599999998","0-15",15,7.5,"grassland","perennial","concentration",FALSE,0.320765416943322,0.0601282566312914,225
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"MBC","F2","MBC","mg/kg","0-10",350.30549898167,36.0672,3,301.42566191446,16.0092,3,"-0.15028066000000001","0-10",10,5,NA,"perennial","concentration",FALSE,-0.151578831357198,0.00447381817681843,226
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"MBC","F2","MBC","mg/kg","10-20",213.441955193482,35.055,3,185.743380855397,14.6574,3,"-0.13900791600000001","10-20",20,15,NA,"perennial","concentration",FALSE,-0.142456636585382,0.0110669364366209,227
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"MBC","F2","MBC","mg/kg","20-30",211.812627291242,38.2876,3,301.42566191446,24.0252,3,"0.35284817000000002","20-30",30,25,NA,"perennial","concentration",FALSE,0.348434399401721,0.0130092322984378,228
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"MBC","F2","MBC","mg/kg","30-50",87.9837067209776,9.8119,3,140.122199592668,8.976,3,"0.46538968200000003","30-50",50,40,NA,"perennial","concentration",FALSE,0.463974395284815,0.00551335883230942,229
"R13","Effects of moso bamboo encroachment into native, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"MBC","F2","MBC","mg/cm2","0-20",2.5114,0.7696,3,2.5519,0.6076,3,"1.5810606000000001E-2","0-20",20,10,"forest","annual","concentration",FALSE,0.00979500496055071,0.0501991037834862,230
"R13","Effects of moso bamboo encroachment into native, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"MBC","F2","MBC","mg/cm2","20-40",3.281,0.7696,3,3.841,0.6076,3,"0.15762894399999999","20-40",40,30,"forest","annual","concentration",FALSE,0.152585129632671,0.0266810211364254,231
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"MBC","F2","MBC","mg/cm2","40-60",4.9013,0.7696,3,5.1038,0.6076,3,"4.0005335000000003E-2","40-60",60,50,"forest","annual","concentration",FALSE,0.0387377865311733,0.0129425673096085,232
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"MBC","F2","MBC","mg/cm2","0-20",13.1646,0.5671,3,11.4633,0.3646,3,"-0.138319215","0-20",20,10,"forest","annual","concentration",FALSE,-0.138521459549504,0.000955765272643521,233
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"MBC","F2","MBC","mg/cm2","20-40",3.281,0.5671,3,4.0101,0.3646,3,"0.200947819","20-40",40,30,"forest","annual","concentration",FALSE,0.197066524376747,0.0127138165155776,234
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"MBC","F2","MBC","mg/cm2","40-60",4.6987,0.5671,3,6.03544,0.3646,3,"0.25084150300000002","40-60",60,50,"forest","annual","concentration",FALSE,0.248543311792318,0.00607204649851082,235
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"MBC","T2","MBC","mg/kg","0-60",266.4,44.9867323327075,5,256.46,42.3846484459999,5,"-3.8026232E-2","0-60",60,30,"forest","annual","concentration",TRUE,-0.0381465560527893,0.0111660624143451,236
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"MBC","T2","MBC","mg/kg","0-60",280,47.2833523016445,5,250.46,41.3930400443934,5,"-0.111490376","0-60",60,30,"forest","annual","concentration",TRUE,-0.111610700450888,0.0111660624143451,237
"R14","Exotic grasses and nitrate enrichment alter soil carbon cycling along an urban–rural tropical forest gradient","18.27-18.17","66.6-65.53","field","watershedforest","forest","n/a","n/a","PennisetumpurpureumSchumach.","Poaceae","perennial","invasive",25.7,1750,"MBC","F3","MBC","µg-C g–1","n/a",200,20.2896,3,139.130434782608,18.3575,3,"-0.36290861899999999","n/a",NA,NA,"forest","perennial","concentration",FALSE,-0.361719216585576,0.00923368534359413,238
"R15","Exotic Pinus carbaea causes soil quality to deteriorate on former abandoned land compared to an indigenous Podocarpus plantation in the tropical forest area of southern China","18.230-18.520","108.440–109.02","field","forest","PodocarpusimbricatusB1.","Podocarpaceae Endl.","n/a","PinuscaribaeaMorelet","PiceaeSpreng.exF.Rudolphi","n/a","invasive",NA,3000,"MBC","T2","MBC","mg/kg","0-20",109.8,8.8,3,86.8,10.8,3,"-0.23505390700000001","0-20",20,10,"forest",NA,"concentration",FALSE,-0.23354424303424,0.00730155298481613,239
"R16","Far-reaching effects on soil properties and underground microbial ecosystem after the introduction of black locusts in forest","34.47-34.51","108.05-108.10","field","forest","P.orientalis","Cupressaceae","n/a","Robiniapseudoacacia L.","Fabaceae","n/a","invasive",10.8,605,"MBC","T2","MBC","mg/kg","0-20",102.74,13.25,3,233.27,4.97,3,"0.819995056","0-20",20,10,"forest",NA,"concentration",FALSE,0.81729865991865,0.00569541626483162,240
"R17","Frequent Fire Reduces the Magnitude of Positive Interactions Between an Invasive Grass and Soil Microbes in Temperate Forests","37.32","88.45","field","forest","Ulmusspecies,Acerspecies,Fraxinusspecies,Juglansnigra,Quercusspecies,Caryaspecies,andPlatanusocci-dentalis","hardwood","n/a","Microstegium","Poaceae","n/a","invasive",NA,12800,"MBC","T1","MBC","ug C g soil-1","0-5",147,36,40,161,27,40,"9.0971778000000003E-2","0-5",5,2.5,"forest",NA,"concentration",FALSE,0.0905736395127279,0.00220247313461861,241
"R17","Frequent Fire Reduces the Magnitude of Positive Interactions Between an Invasive Grass and Soil Microbes in Temperate Forests","37.32","88.45","field","forest","Ulmusspecies,Acerspecies,Fraxinusspecies,Juglansnigra,Quercusspecies,Caryaspecies,andPlatanusocci-dentalis","hardwood","n/a","Microstegium","Poaceae","n/a","invasive",NA,12800,"MBC","T1","MBC","ug C g soil-1","5-10",68.1,16.8,40,66.2,11.1,40,"-2.8296749999999999E-2","5-10",10,7.5,"forest",NA,"concentration",FALSE,-0.0287060559470411,0.00222433522113917,242
"R17","Frequent Fire Reduces the Magnitude of Positive Interactions Between an Invasive Grass and Soil Microbes in Temperate Forests","37.32","88.45","field","forest","Ulmusspecies,Acerspecies,Fraxinusspecies,Juglansnigra,Quercusspecies,Caryaspecies,andPlatanusocci-dentalis","hardwood","n/a","Microstegium","Poaceae","n/a","invasive",NA,12800,"MBC","T1","MBC","ug C g soil-1","10-15",21.1,5.2,40,37.7,6.33,40,"0.58038705400000001","10-15",15,12.5,"forest",NA,"concentration",FALSE,0.579980260733639,0.00222318268850255,243
"R20","Impacts of Spartina alterniflora invasion on soil carbon contents and stability in the Yellow River Delta, China","24.80","113.36","field","ricefields","Cynodondactylon,Festucaarundicea,Paspalumtatu,andCommelicommunis","herbaceous","n/a","AmbrosiaartemisiifoliaL.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,NA,"MBC","T1","MBC","n/a","n/a",624.01,53.4,4,614.62,6.64,4,"-1.5162203000000001E-2","n/a",NA,NA,"cropland","annual","concentration",FALSE,-0.0160630108610089,0.00185997224956899,244
"R20","Impacts of Spartina alterniflora invasion on soil carbon contents and stability in the Yellow River Delta, China","24.80","113.36","field","ricefields","Toxicodendronvernicifluum,Sapiumdiscolor,Lygodiumjaponicum,
Gardeniajasminoides,Pinusmassonia,G.mangosta,U.lobata,
Mallotusapelta,Vitexnegundo,Meliaazedarach,S.bonox,Brous-
sonetiapapyrifera,PaederiascandensandRhuschinensis.","tivespecies","n/a","AmbrosiaartemisiifoliaL.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,NA,"MBC","T1","MBC","n/a","n/a",309.48,19.95,4,614.62,6.64,4,"0.68615720999999996","n/a",NA,NA,"cropland","annual","concentration",FALSE,0.685605875905352,0.00106804711842735,245
"R21","Invasion effects of Chromolaena odorata on soil carbon and nitrogen fractions in a tropical savanna","108.470–108.490","19.050–19.170","field","grassland","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens","Grass","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"MBC","F3","MBC","mg/kg","0-10",419.847328244274,20.9924,3,458.015267175572,22.9008,3,"8.7015347000000007E-2","0-10",10,5,"grassland","perennial","concentration",FALSE,0.0870113769896305,0.00166667200000427,246
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","grassland","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens","Grass","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"MBC","F3","MBC","mg/kg","10-20",652.67175572519,61.0687,3,458.015267175572,22.9008,3,"-0.35415879","10-20",20,15,"grassland","perennial","concentration",FALSE,-0.355214284035536,0.00375161262984837,247
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","forest","Crotonlaui,Microcospaniculata,Dimocarpuslongga","Forest","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"MBC","F3","MBC","mg/kg","0-10",229.007633587786,26.7176,3,225.190839694656,15.2672,3,"-1.6821180000000002E-2","0-10",10,5,"forest","perennial","concentration",FALSE,-0.0183095782510153,0.00606918324186815,248
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","forest","Crotonlaui,Microcospaniculata,Dimocarpuslongga","Forest","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"MBC","F3","MBC","mg/kg","10-20",360.687022900763,28.626,3,225.190839694656,15.2672,3,"-0.47107437299999999","10-20",20,15,"forest","perennial","concentration",FALSE,-0.471346130747304,0.00363174367925168,249
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"MBC","F1","MBC","mg/kg","0-30",71.2742980561555,4.3197,9,197.624190064794,19.9784,9,"1.0198705130000001","0-30",30,15,NA,"perennial","concentration",FALSE,1.02019511080412,0.00154366044157414,250
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"MBC","F1","MBC","mg/kg","0-30",64.2548596112311,12.419,9,197.624190064794,19.9784,9,"1.123564271","0-30",30,15,NA,"perennial","concentration",FALSE,1.12200226762047,0.00528620575857166,251
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"MBC","T1","MBC","g/kg","n/a",0.24,0.04,3,0.4,0.1,3,"0.51082562399999998","n/a",NA,NA,NA,"perennial","concentration",FALSE,0.516612660803028,0.0300925925925926,252
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"MBC","T1","MBC","g/kg","n/a",0.44,0.08,3,0.23,0,3,"-0.64869541799999997","n/a",NA,NA,NA,"perennial","concentration",FALSE,-0.65420505986239,0.0110192837465565,253
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"MBC","T1","MBC","g/kg","n/a",0.54,0.11,3,0.58,0.07,3,"7.1458964E-2","n/a",NA,NA,NA,"perennial","concentration",FALSE,0.0669707629759832,0.0186870639227475,254
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Avicenniamari (Forsk.)Vierh.","Acanthaceae","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"MBC","T1","MBC","g/kg","n/a",0.36,0.02,3,0.45,0.01,3,"0.223143551","n/a",NA,NA,NA,"perennial","concentration",FALSE,0.222711452548778,0.00119341563786008,255
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Avicenniamari (Forsk.)Vierh.","Acanthaceae","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"MBC","T1","MBC","g/kg","n/a",0.46,0.02,3,0.43,0.06,3,"-6.7441281000000006E-2","n/a",NA,NA,NA,"perennial","concentration",FALSE,-0.0645113433610707,0.0071201143144185,256
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Avicenniamari (Forsk.)Vierh.","Acanthaceae","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"MBC","T1","MBC","g/kg","n/a",0.87,0.04,3,0.71,0.07,3,"-0.203228242","n/a",NA,NA,NA,"perennial","concentration",FALSE,-0.201960506945502,0.00394472639282794,257
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"MBC","T1","MBC","g/kg","n/a",0.39,0,3,0.44,0.01,3,"0.12062798800000001","n/a",NA,NA,NA,"perennial","concentration",FALSE,0.120714075942885,0.000172176308539945,258
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"MBC","T1","MBC","g/kg","n/a",0.42,0.02,3,0.43,0.01,3,"2.3530497000000001E-2","n/a",NA,NA,NA,"perennial","concentration",FALSE,0.0232427072746097,0.000936135526261463,259
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"MBC","T1","MBC","g/kg","n/a",0.42,0.02,3,0.43,0.01,3,"2.3530497000000001E-2","n/a",NA,NA,NA,"perennial","concentration",FALSE,0.0232427072746097,0.000936135526261463,260
"R31","Seawall construction alters soil carbon and nitrogen dynamics and soil microbial biomass in an invasive Spartina alterniflora salt marsh in eastern China","32.59-33.03","120.47-120.53","field","n/a","Suaedasalsa","n/a","annual","S.alterniflora","Poaceae","perennial","invasive",14.1,1000,"MBC","F4","MBC","mg/kg","0-10",521.854304635761,9.2715,3,237.086092715231,42.3841,3,"-0.78894037400000006","0-10",10,5,NA,"perennial","concentration",FALSE,-0.783691204020227,0.0107582301097908,261
"R31","Seawall construction alters soil carbon and nitrogen dymics and soil microbial biomass in an invasive Spartina alterniflora salt marsh in eastern China","32.59-33.03","120.47-120.53","field","n/a","Suaedasalsa","n/a","annual","S.alterniflora","Poaceae","perennial","invasive",14.1,1000,"MBC","F4","MBC","mg/kg","10-20",303.311258278145,23.8411,3,152.317880794701,22.5166,3,"-0.68877181399999998","10-20",20,15,NA,"perennial","concentration",FALSE,-0.686177501190685,0.00934367654890231,262
"R31","Seawall construction alters soil carbon and nitrogen dymics and soil microbial biomass in an invasive Spartina alterniflora salt marsh in eastern China","32.59-33.03","120.47-120.53","field","n/a","Suaedasalsa","n/a","annual","S.alterniflora","Poaceae","perennial","invasive",14.1,1000,"MBC","F4","MBC","mg/kg","20-30",290.066225165562,23.8411,3,147.019867549668,31.7881,3,"-0.67955364100000004","20-30",30,25,NA,"perennial","concentration",FALSE,-0.672875861702288,0.0178350080892951,263
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"MBC","T1","MBC","g/kg","0-20",0.38,0.03,3,0.66,0.12,3,"0.55206858199999997","0-20",20,10,"wetland_coastal",NA,"concentration",FALSE,0.556539443009883,0.0130968460734263,264
